"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm","total"
13,40,740,0.896973818429106,0.633811412877632,0.907828527191794,0.871449342175254,0.75806309869057,0,0,0.0862068965517241,0.680950550970918
22,10,195,0.811888713322799,0.717424473603906,1,0.836625412248661,1,0.28,0.0253164556962025,0.327586206896552,0.668849643418191
2,4,1786,1,0.305462313091242,0.623524288755564,1,0.824413393092539,0,0,0.120689655172414,0.63913310294221
30,67,1480,0.615296917815069,0.808361306072627,0.849380685117089,0.606475406929324,0.731610862114421,0.04,0.0108499095840868,0.103448275862069,0.635163026004641
15,121,5912,0.795647738864332,0.687213915166311,0.586558931681827,0.671796872229512,0.56788821513314,0,0.00180831826401447,0,0.631091399133914
22,14,553,0.585015100906054,0.603600854440037,0.791223146893749,0.606049859924111,0.748659811934265,0.16,0.00180831826401447,0.0862068965517241,0.623773640270706
26,49,1332,0.884893093585615,0.356728715288374,0.590332881749565,0.775346643497996,0.622726074347482,0.04,0.00361663652802893,0.0517241379310345,0.611847163120396
14,98,3453,0.84333059983599,0.470247177296308,0.527336946003484,0.733004716479308,0.626241321733017,0,0,0.0344827586206897,0.609671248548604
14,120,3026,0.845170710242615,0.452242905096125,0.504451325720921,0.728749246427178,0.556463661130152,0,0,0,0.608707784861699
23,1,175,0.643918635118107,0.704913030210558,0.720001935359009,0.574914004042697,0.664909042973899,0.52,0.0198915009041591,0.258620689655172,0.607268607964291
21,35,291,0.728503710222613,0.459566676838572,0.735000967679505,0.699563814319657,0.635556727304684,0,0.0126582278481013,0.0689655172413793,0.606395357248899
15,26,1054,0.73126387583255,0.609703997558743,0.775837042771434,0.627078974431717,0.665699973635645,0,0.0289330922242315,0.137931034482759,0.602472385300604
22,5,99,0.491449486969218,0.810497406164175,0.758225275788659,0.486790311713181,0.690570348888303,0.04,0.0126582278481013,0.103448275862069,0.597984622978543
5,30,777,0.821169270156209,0.49740616417455,0.586220243855235,0.699882974573566,0.579664293874681,0,0.00180831826401447,0.0689655172413793,0.597925471317412
19,42,1708,0.837450247014821,0.339334757400061,0.392394039094252,0.740487251320969,0.55444239388347,0.04,0,0,0.590410868871357
22,14,754,0.626717603056183,0.332621299969484,0.823785562221792,0.625341324160431,0.817822304244661,0.08,0.0054249547920434,0.137931034482759,0.589791994499632
23,8,874,0.660359621577295,0.378700030515716,0.718695568027869,0.61906450583354,0.590649441954478,0.08,0.00361663652802893,0.0517241379310345,0.589591339064382
31,50,638,0.417105026301578,0.563320109856576,0.665618347203406,0.406610163480975,0.590737323139116,0.44,0.0180831826401447,0.0689655172413793,0.589457760089766
15,109,5465,0.544912694761686,0.562099481232835,0.692084381652797,0.512394056526827,0.581246155198172,0,0,0,0.589273676937232
22,14,278,0.531111866712003,0.530668294171498,0.600977356299594,0.543671761409979,0.592055540908692,0.16,0.0253164556962025,0.0344827586206897,0.58803529993359
22,10,205,0.574754485269116,0.425389075373818,0.724743564931295,0.619419128337884,0.666315141928113,0.12,0.00180831826401447,0.0862068965517241,0.587380902444907
15,38,2036,0.472168330099806,1,0.714437778207858,0.451328061278769,0.595482907109588,0.08,0.0253164556962025,0.155172413793103,0.587321629101291
15,121,5904,0.767306038362302,0.541959108941105,0.571801819237469,0.676052342281641,0.518411108181738,0,0.00180831826401447,0.0689655172413793,0.587044218354413
19,6,108,0.545372722363342,0.309124198962466,0.823253338494291,0.531330898258804,0.715968011248792,0.08,0.0180831826401447,0.0517241379310345,0.586795993817473
19,10,220,0.867172030321819,0.297223069880989,0.456018966518289,0.722968899606369,0.559715264961772,0,0,0.0172413793103448,0.58513740933582
19,18,2598,0.392603556213373,0.266402197131523,0.625991871492162,0.384659030462073,0.551366552421127,0.64,0,0.0172413793103448,0.580929906978922
24,28,1039,0.3146388783327,0.595666768385719,0.548722663053997,0.300897194935991,0.411283944107567,0.6,0.173598553345389,0.0689655172413793,0.573791145043722
9,16,5157,0.350821049262956,0.602990540128166,0.616169924520999,0.398773006134969,0.591440372616223,0.12,0.0054249547920434,0,0.568561984745536
21,42,325,0.522431345880753,0.585901739395789,0.665328043352042,0.491719564523565,0.535108533263028,0.04,0.0235081374321881,0.0689655172413793,0.565710081212323
2,2,398,0.42720563233794,0.589563625267013,0.684342945616412,0.401893684173198,0.550399859390105,0.12,0.0325497287522604,0.0517241379310345,0.565078306174382
19,40,1422,0.411664699881993,0.504729935916997,0.637652409521966,0.354622504344126,0.456279110642411,0.24,0.198915009041591,0.0517241379310345,0.564869125555598
24,28,1110,0.704942296537792,0.415929203539823,0.512434681633443,0.634809745026419,0.414974953862378,0,0.00180831826401447,0.0172413793103448,0.563317506093284
31,41,220,0.675220513230794,0.441562404638389,0.48843622992065,0.628320153196922,0.431848141312945,0.16,0,0.0689655172413793,0.561849089057556
14,102,2728,0.763045782746965,0.495575221238938,0.62212115347397,0.689882619951062,0.626768608840847,0,0.0144665461121157,0.206896551724138,0.559117027719148
16,54,1107,0.398983939036342,0.62740311260299,0.554770659957422,0.375864392354339,0.470779506107742,0.28,0.0108499095840868,0.0517241379310345,0.556347910584982
13,83,1630,0.520851251075064,0.703997558742752,0.678101412812077,0.476648108088939,0.579664293874681,0,0.00180831826401447,0.137931034482759,0.554727783940925
21,141,1840,0.357521451287077,0.629539212694538,0.556754402941746,0.351430901805029,0.436857368837332,0.24,0.0235081374321881,0.0172413793103448,0.554388733706688
7,102,1616,0.440086405184311,0.58193469636863,0.462308883297852,0.408276889251392,0.331927234379119,0.32,0.00904159132007233,0.0172413793103448,0.550185156187034
23,1,626,0.452827169630178,0.541653951785169,0.735339655506096,0.46210858541083,0.658493716495298,0,0.0054249547920434,0.120689655172414,0.549377906810237
14,102,2695,0.558213492809569,0.429661275556912,0.535029998064641,0.507074718961665,0.502065207839002,0,0.00361663652802893,0.0172413793103448,0.548393719182878
11,20,1490,0.750305018301098,0.473909063167531,0.415424811302497,0.676726125039895,0.418050795324721,0,0,0.0862068965517241,0.547579512348057
31,50,476,0.588795327719663,0.521513579493439,0.588349138765241,0.544700166672577,0.531153879954302,0,0.0108499095840868,0.103448275862069,0.54750171746031
2,1,172,0.580614836890213,0.418980775099176,0.457615637700793,0.544912940175184,0.48440108972669,0.04,0,0.0172413793103448,0.547480114166102
11,5,315,0.587795267716063,0.364662801342691,0.497000193535901,0.54062200787262,0.487125406450479,0.04,0,0.0172413793103448,0.546548153898672
